variable,coef,std_err,t,p_value,ci_low,ci_high
date_2007-08-12 00:00:00,-0.3365,0.024,-14.223,0.0,-0.383,-0.29
date_2007-08-19 00:00:00,0.0697,0.024,2.941,0.003,0.023,0.116
date_2007-08-26 00:00:00,-0.0805,0.024,-3.376,0.001,-0.127,-0.034
date_2007-09-02 00:00:00,0.0377,0.024,1.599,0.11,-0.009,0.084
date_2007-09-09 00:00:00,0.0878,0.024,3.706,0.0,0.041,0.134
date_2007-09-16 00:00:00,-0.0958,0.024,-4.036,0.0,-0.142,-0.049
date_2007-09-23 00:00:00,-0.1033,0.024,-4.369,0.0,-0.15,-0.057
date_2007-09-30 00:00:00,0.0795,0.024,3.311,0.001,0.032,0.126
date_2007-10-07 00:00:00,-0.0109,0.024,-0.458,0.647,-0.058,0.036
date_2007-10-14 00:00:00,-0.4025,0.024,-16.825,0.0,-0.449,-0.356
date_2007-10-21 00:00:00,-0.2014,0.024,-8.237,0.0,-0.249,-0.153
date_2007-10-28 00:00:00,-0.1166,0.024,-4.947,0.0,-0.163,-0.07
date_2007-11-04 00:00:00,-0.1922,0.024,-8.113,0.0,-0.239,-0.146
date_2007-11-11 00:00:00,-0.101,0.024,-4.247,0.0,-0.148,-0.054
date_2007-11-18 00:00:00,-0.0248,0.024,-1.049,0.294,-0.071,0.022
date_2007-11-25 00:00:00,0.0991,0.024,4.198,0.0,0.053,0.145
date_2007-12-02 00:00:00,0.1555,0.024,6.59,0.0,0.109,0.202
date_2007-12-09 00:00:00,-0.0655,0.024,-2.75,0.006,-0.112,-0.019
date_2007-12-16 00:00:00,-0.3949,0.024,-16.727,0.0,-0.441,-0.349
date_2007-12-23 00:00:00,0.2078,0.024,8.83,0.0,0.162,0.254
date_2007-12-30 00:00:00,-0.0385,0.024,-1.634,0.102,-0.085,0.008
date_2008-01-06 00:00:00,-0.0436,0.024,-1.807,0.071,-0.091,0.004
date_2008-01-13 00:00:00,0.0177,0.024,0.745,0.456,-0.029,0.064
date_2008-01-20 00:00:00,-0.1689,0.024,-7.019,0.0,-0.216,-0.122
date_2008-01-27 00:00:00,-0.6538,0.024,-27.663,0.0,-0.7,-0.607
date_2008-02-03 00:00:00,0.0245,0.024,1.034,0.301,-0.022,0.071
date_2008-02-10 00:00:00,0.0593,0.024,2.494,0.013,0.013,0.106
date_2008-02-17 00:00:00,-0.0875,0.024,-3.714,0.0,-0.134,-0.041
date_2008-02-24 00:00:00,0.0494,0.024,2.098,0.036,0.003,0.096
date_2008-03-02 00:00:00,0.0859,0.024,3.638,0.0,0.04,0.132
date_2008-03-09 00:00:00,-0.1289,0.024,-5.428,0.0,-0.175,-0.082
date_2008-03-16 00:00:00,-0.0713,0.024,-3.0,0.003,-0.118,-0.025
date_2008-03-23 00:00:00,-0.0245,0.024,-1.033,0.302,-0.071,0.022
date_2008-03-30 00:00:00,0.2414,0.024,10.226,0.0,0.195,0.288
date_2008-04-06 00:00:00,-0.2219,0.024,-9.193,0.0,-0.269,-0.175
date_2008-04-13 00:00:00,-0.1219,0.024,-5.166,0.0,-0.168,-0.076
date_2008-04-20 00:00:00,-0.3817,0.024,-16.094,0.0,-0.428,-0.335
date_2008-04-27 00:00:00,-0.3595,0.024,-15.177,0.0,-0.406,-0.313
date_2008-05-04 00:00:00,0.5167,0.024,21.746,0.0,0.47,0.563
date_2008-05-11 00:00:00,-0.633,0.024,-26.86,0.0,-0.679,-0.587
date_2008-05-18 00:00:00,0.389,0.024,16.343,0.0,0.342,0.436
